Collection,Operation,Consumption
synchronizedLinkedList,add(value),0.21
synchronizedLinkedList,iterator,0.07
synchronizedLinkedList,sequentialGet,308.9
synchronizedLinkedList,randomGet,774.95
synchronizedLinkedList,remove(starting-index),0.17
synchronizedLinkedList,add(starting-index;value),0.21
synchronizedLinkedList,add(middle-index;value),605.26
synchronizedLinkedList,remove(middle-index),108.14
synchronizedLinkedList,add(ending-index;value),0.29
synchronizedLinkedList,remove(ending-index),166.16
vector,add(value),0.2
vector,iterator,0.19
vector,sequentialGet,0.17
vector,randomGet,0.28
vector,remove(starting-index),47.74
vector,add(starting-index;value),46.03
vector,add(middle-index;value),36.38
vector,remove(middle-index),43.36
vector,add(ending-index;value),0.87
vector,remove(ending-index),36.62
synchronizedArrayList,add(value),0.2
synchronizedArrayList,iterator,0.04
synchronizedArrayList,sequentialGet,0.17
synchronizedArrayList,randomGet,0.27
synchronizedArrayList,remove(starting-index),47.43
synchronizedArrayList,add(starting-index;value),46.4
synchronizedArrayList,add(middle-index;value),44.16
synchronizedArrayList,remove(middle-index),43.4
synchronizedArrayList,add(ending-index;value),0.35
synchronizedArrayList,remove(ending-index),37.33
copyOnWriteArrayList,add(value),136.36
copyOnWriteArrayList,iterator,0.05
copyOnWriteArrayList,sequentialGet,0.03
copyOnWriteArrayList,randomGet,0.05
copyOnWriteArrayList,remove(starting-index),165.72
copyOnWriteArrayList,add(starting-index;value),164.88
copyOnWriteArrayList,add(middle-index;value),151.43
copyOnWriteArrayList,remove(middle-index),162.87
copyOnWriteArrayList,add(ending-index;value),137.88
copyOnWriteArrayList,remove(ending-index),159.75
synchronizedFastList(EclipseCollections),add(value),0.22
synchronizedFastList(EclipseCollections),iterator,0.06
synchronizedFastList(EclipseCollections),sequentialGet,0.18
synchronizedFastList(EclipseCollections),randomGet,0.29
synchronizedFastList(EclipseCollections),remove(starting-index),48.89
synchronizedFastList(EclipseCollections),add(starting-index;value),45.18
synchronizedFastList(EclipseCollections),add(middle-index;value),36.28
synchronizedFastList(EclipseCollections),remove(middle-index),43.39
synchronizedFastList(EclipseCollections),add(ending-index;value),0.47
synchronizedFastList(EclipseCollections),remove(ending-index),37.18
arrayList,add(value),0.03
arrayList,iterator,0.02
arrayList,sequentialGet,0.02
arrayList,randomGet,0.07
arrayList,remove(starting-index),39.53
arrayList,add(starting-index;value),37.37
arrayList,add(middle-index;value),16.66
arrayList,remove(middle-index),17.94
arrayList,add(ending-index;value),0.05
arrayList,remove(ending-index),0.02
linkedList,add(value),0.03
linkedList,iterator,0.03
linkedList,sequentialGet,275.68
linkedList,randomGet,346.52
linkedList,remove(starting-index),0.03
linkedList,add(starting-index;value),0.05
linkedList,add(middle-index;value),558.13
linkedList,remove(middle-index),557.68
linkedList,add(ending-index;value),0.05
linkedList,remove(ending-index),0.06
fastList(EclipseCollections),add(value),0.03
fastList(EclipseCollections),iterator,0.03
fastList(EclipseCollections),sequentialGet,0.06
fastList(EclipseCollections),randomGet,0.13
fastList(EclipseCollections),remove(starting-index),40.25
fastList(EclipseCollections),add(starting-index;value),37.39
fastList(EclipseCollections),add(middle-index;value),17.2
fastList(EclipseCollections),remove(middle-index),18.34
fastList(EclipseCollections),add(ending-index;value),0.07
fastList(EclipseCollections),remove(ending-index),0.05
treeList(ApacheCommonsCollections),add(value),0.52
treeList(ApacheCommonsCollections),iterator,0.05
treeList(ApacheCommonsCollections),sequentialGet,0.22
treeList(ApacheCommonsCollections),randomGet,0.82
treeList(ApacheCommonsCollections),remove(starting-index),0.55
treeList(ApacheCommonsCollections),add(starting-index;value),0.53
treeList(ApacheCommonsCollections),add(middle-index;value),0.66
treeList(ApacheCommonsCollections),remove(middle-index),0.94
treeList(ApacheCommonsCollections),add(ending-index;value),0.56
treeList(ApacheCommonsCollections),remove(ending-index),0.57
nodeCachingLinkedList(ApacheCommonsCollections),add(value),0.05
nodeCachingLinkedList(ApacheCommonsCollections),iterator,0.03
nodeCachingLinkedList(ApacheCommonsCollections),sequentialGet,195.3
nodeCachingLinkedList(ApacheCommonsCollections),randomGet,231.67
nodeCachingLinkedList(ApacheCommonsCollections),remove(starting-index),0.04
