Collection,Operation,Consumption
synchronizedLinkedList,add(value),0.0523683
synchronizedLinkedList,iterator,0.009501
synchronizedLinkedList,sequentialGet,7.3300173
synchronizedLinkedList,randomGet,25.873474
synchronizedLinkedList,remove(starting-index),0.147339
synchronizedLinkedList,add(starting-index;value),0.0440267
synchronizedLinkedList,add(middle-index;value),24.3633627
synchronizedLinkedList,remove(middle-index),7.454651
synchronizedLinkedList,add(ending-index;value),0.0960893
synchronizedLinkedList,remove(ending-index),10.952758
vector,add(value),0.0438843
vector,iterator,0.052999
vector,sequentialGet,0.040629
vector,randomGet,0.0405477
vector,remove(starting-index),3.399414
vector,add(starting-index;value),3.1610517
vector,add(middle-index;value),2.2440593
vector,remove(middle-index),3.01709
vector,add(ending-index;value),0.08431
vector,remove(ending-index),2.269348
synchronizedArrayList,add(value),0.0464477
synchronizedArrayList,iterator,0.0000001
synchronizedArrayList,sequentialGet,0.062439
synchronizedArrayList,randomGet,0.0497437
synchronizedArrayList,remove(starting-index),2.344055
synchronizedArrayList,add(starting-index;value),3.2323813
synchronizedArrayList,add(middle-index;value),2.1301473
synchronizedArrayList,remove(middle-index),3.708252
synchronizedArrayList,add(ending-index;value),0.0874837
synchronizedArrayList,remove(ending-index),2.914306
copyOnWriteArrayList,add(value),8.3457233
copyOnWriteArrayList,iterator,0.009318
copyOnWriteArrayList,sequentialGet,0.0033773
copyOnWriteArrayList,randomGet,0.015401
copyOnWriteArrayList,remove(starting-index),11.243042
copyOnWriteArrayList,add(starting-index;value),9.913045
copyOnWriteArrayList,add(middle-index;value),8.706177
copyOnWriteArrayList,remove(middle-index),11.754089
copyOnWriteArrayList,add(ending-index;value),7.874003
copyOnWriteArrayList,remove(ending-index),10.741882
synchronizedFastList(EclipseCollections),add(value),0.042928
synchronizedFastList(EclipseCollections),iterator,0.0205893
synchronizedFastList(EclipseCollections),sequentialGet,0.0399373
synchronizedFastList(EclipseCollections),randomGet,0.0851643
synchronizedFastList(EclipseCollections),remove(starting-index),3.22113
synchronizedFastList(EclipseCollections),add(starting-index;value),2.7051593
synchronizedFastList(EclipseCollections),add(middle-index;value),2.6174317
synchronizedFastList(EclipseCollections),remove(middle-index),3.482788
synchronizedFastList(EclipseCollections),add(ending-index;value),0.0950927
synchronizedFastList(EclipseCollections),remove(ending-index),2.312378
arrayList,add(value),0.0026857
arrayList,iterator,0.0151773
arrayList,sequentialGet,0.0282797
arrayList,randomGet,0.0030317
arrayList,remove(starting-index),1.603332
arrayList,add(starting-index;value),1.4683027
arrayList,add(middle-index;value),0.7278033
arrayList,remove(middle-index),0.747436
arrayList,add(ending-index;value),0.006022
arrayList,remove(ending-index),0.019958
linkedList,add(value),0.0446163
