Collection,Operation,Consumption
synchronizedLinkedList,add(value),0.0253913333
synchronizedLinkedList,iterator,0.0233563333
synchronizedLinkedList,sequentialGet,2.048868333
synchronizedLinkedList,randomGet,3.745341
synchronizedLinkedList,remove(starting-index),0.13324
synchronizedLinkedList,add(starting-index;value),0.0629473333
synchronizedLinkedList,add(middle-index;value),7.389404333
synchronizedLinkedList,remove(middle-index),2.082581
synchronizedLinkedList,add(ending-index;value),0.052816
synchronizedLinkedList,remove(ending-index),2.34314
vector,add(value),0.0204466667
vector,iterator,0.0288086667
vector,sequentialGet,0.040222
vector,randomGet,0.0243936667
vector,remove(starting-index),1.176819
vector,add(starting-index;value),0.78007
vector,add(middle-index;value),0.4417923333
vector,remove(middle-index),0.648071
vector,add(ending-index;value),0.047099
vector,remove(ending-index),0.649902
synchronizedArrayList,add(value),0.020569
synchronizedArrayList,iterator,0.00647
synchronizedArrayList,sequentialGet,0.021159
synchronizedArrayList,randomGet,0.0269773333
synchronizedArrayList,remove(starting-index),0.848206
synchronizedArrayList,add(starting-index;value),0.836446
synchronizedArrayList,add(middle-index;value),0.5921423333
synchronizedArrayList,remove(middle-index),0.739319
synchronizedArrayList,add(ending-index;value),0.047872
synchronizedArrayList,remove(ending-index),0.776184
copyOnWriteArrayList,add(value),2.358988667
copyOnWriteArrayList,iterator,0.010152
copyOnWriteArrayList,sequentialGet,0.0069173333
copyOnWriteArrayList,randomGet,0.0107423333
copyOnWriteArrayList,remove(starting-index),3.104309
copyOnWriteArrayList,add(starting-index;value),2.805847333
copyOnWriteArrayList,add(middle-index;value),2.609639667
copyOnWriteArrayList,remove(middle-index),2.966858
copyOnWriteArrayList,add(ending-index;value),2.324300333
copyOnWriteArrayList,remove(ending-index),2.760193
synchronizedFastList(EclipseCollections),add(value),0.0348513333
synchronizedFastList(EclipseCollections),iterator,0.0105796667
synchronizedFastList(EclipseCollections),sequentialGet,0.023173
synchronizedFastList(EclipseCollections),randomGet,0.0473023333
synchronizedFastList(EclipseCollections),remove(starting-index),1.013855
synchronizedFastList(EclipseCollections),add(starting-index;value),0.6720583333
synchronizedFastList(EclipseCollections),add(middle-index;value),0.4153036667
synchronizedFastList(EclipseCollections),remove(middle-index),0.854675
synchronizedFastList(EclipseCollections),add(ending-index;value),0.062154
synchronizedFastList(EclipseCollections),remove(ending-index),0.748596
arrayList,add(value),0.0118816667
arrayList,iterator,0.0079343333
arrayList,sequentialGet,0.008484
arrayList,randomGet,0.015503
arrayList,remove(starting-index),0.584411
arrayList,add(starting-index;value),0.3651936667
arrayList,add(middle-index;value),0.19812
arrayList,remove(middle-index),0.195862
arrayList,add(ending-index;value),0.0120646667
arrayList,remove(ending-index),0.024292
linkedList,add(value),0.0333863333
linkedList,iterator,0.0380046667
linkedList,sequentialGet,3.080383333
linkedList,randomGet,2.883321
linkedList,remove(starting-index),0.010925
linkedList,add(starting-index;value),0.02478
linkedList,add(middle-index;value),4.698405
linkedList,remove(middle-index),5.06012
linkedList,add(ending-index;value),0.0368046667
linkedList,remove(ending-index),0.012451
fastList(EclipseCollections),add(value),0.026001
fastList(EclipseCollections),iterator,0.0066323333
fastList(EclipseCollections),sequentialGet,0.0081583333
fastList(EclipseCollections),randomGet,0.0420123333
fastList(EclipseCollections),remove(starting-index),0.778748
fastList(EclipseCollections),add(starting-index;value),0.5568846667
fastList(EclipseCollections),add(middle-index;value),0.177592
fastList(EclipseCollections),remove(middle-index),0.287231
fastList(EclipseCollections),add(ending-index;value),0.0059613333
fastList(EclipseCollections),remove(ending-index),0.021301
treeList(ApacheCommonsCollections),add(value),0.048503
treeList(ApacheCommonsCollections),iterator,0.0129596667
treeList(ApacheCommonsCollections),sequentialGet,0.016622
treeList(ApacheCommonsCollections),randomGet,0.0462443333
treeList(ApacheCommonsCollections),remove(starting-index),0.211731
treeList(ApacheCommonsCollections),add(starting-index;value),0.045939
treeList(ApacheCommonsCollections),add(middle-index;value),0.08079
treeList(ApacheCommonsCollections),remove(middle-index),0.295227
treeList(ApacheCommonsCollections),add(ending-index;value),0.137024
treeList(ApacheCommonsCollections),remove(ending-index),0.128479
nodeCachingLinkedList(ApacheCommonsCollections),add(value),0.011658
nodeCachingLinkedList(ApacheCommonsCollections),iterator,0.003479
nodeCachingLinkedList(ApacheCommonsCollections),sequentialGet,2.769022667
nodeCachingLinkedList(ApacheCommonsCollections),randomGet,2.786397333
nodeCachingLinkedList(ApacheCommonsCollections),remove(starting-index),0.034302
nodeCachingLinkedList(ApacheCommonsCollections),add(starting-index;value),0.0031533333
nodeCachingLinkedList(ApacheCommonsCollections),add(middle-index;value),15.652751
nodeCachingLinkedList(ApacheCommonsCollections),remove(middle-index),20.913452
nodeCachingLinkedList(ApacheCommonsCollections),add(ending-index;value),0.0028483333
nodeCachingLinkedList(ApacheCommonsCollections),remove(ending-index),0.028259
cursorableLinkedList(ApacheCommonsCollections),add(value),0.011495
cursorableLinkedList(ApacheCommonsCollections),iterator,0.0043743333
cursorableLinkedList(ApacheCommonsCollections),sequentialGet,2.775634667
cursorableLinkedList(ApacheCommonsCollections),randomGet,2.936259
cursorableLinkedList(ApacheCommonsCollections),remove(starting-index),0.044616
cursorableLinkedList(ApacheCommonsCollections),add(starting-index;value),0.0085043333
cursorableLinkedList(ApacheCommonsCollections),add(middle-index;value),3.765096
cursorableLinkedList(ApacheCommonsCollections),remove(middle-index),4.623657
cursorableLinkedList(ApacheCommonsCollections),add(ending-index;value),0.0107626667
cursorableLinkedList(ApacheCommonsCollections),remove(ending-index),0.010132
synchronizedLinkedHashSet,add(value),0.1722498571
synchronizedLinkedHashSet,iterator,0.0352434286
synchronizedLinkedHashSet,remove(key),0.32489
synchronizedHashSet,add(value),0.1710727143
synchronizedHashSet,iterator,0.0155725714
synchronizedHashSet,remove(key),0.328308
concurrentSkipListSet,add(value),0.1902465714
concurrentSkipListSet,iterator,0.0154505714
concurrentSkipListSet,remove(key),0.558716
setFromConcurrentHashMap,add(value),0.1121827143
setFromConcurrentHashMap,iterator,0.0224261429
setFromConcurrentHashMap,remove(key),0.319274
setFromConcurrentHashMapV8,add(value),0.0627617143
setFromConcurrentHashMapV8,iterator,0.0264281429
setFromConcurrentHashMapV8,remove(key),0.213684
synchronizedTreeSet,add(value),0.2142247143
synchronizedTreeSet,iterator,0.0432828571
synchronizedTreeSet,remove(key),0.688293
synchronizedTreeSortedSet(Eclipse Collections),add(value),0.210519
synchronizedTreeSortedSet(Eclipse Collections),iterator,0.0126954286
synchronizedTreeSortedSet(Eclipse Collections),remove(key),0.29956
synchronizedUnifiedSet(Eclipse Collections),add(value),0.1819458571
synchronizedUnifiedSet(Eclipse Collections),iterator,0.0644967143
synchronizedUnifiedSet(Eclipse Collections),remove(key),0.55072
hashSet,add(value),0.1124092857
hashSet,iterator,0.0191388571
hashSet,remove(key),0.145264
linkedHashSet,add(value),0.1710118571
linkedHashSet,iterator,0.0446864286
linkedHashSet,remove(key),0.225281
treeSet,add(value),0.106768
treeSet,iterator,0.0164708571
treeSet,remove(key),0.182861
unifiedSet(Eclipse Collections),add(value),0.0904104286
unifiedSet(Eclipse Collections),iterator,0.017866
unifiedSet(Eclipse Collections),remove(key),0.278808
treeSortedSet(Eclipse Collections),add(value),0.1223581429
treeSortedSet(Eclipse Collections),iterator,0.0121722857
treeSortedSet(Eclipse Collections),remove(key),0.101013
linkedHashMap,put(key;value),0.3869717143
linkedHashMap,iterator,0.1516984286
linkedHashMap,remove(key),0.810303
concurrentHashMapV8,put(key;value),0.1850237143
concurrentHashMapV8,iterator,0.062692
concurrentHashMapV8,remove(key),0.599121
concurrentHashMap,put(key;value),0.1729998571
concurrentHashMap,iterator,0.0763724286
concurrentHashMap,remove(key),0.59259
hashtable,put(key;value),0.3532452857
hashtable,iterator,0.1484637143
hashtable,remove(key),0.478821
synchronizedHashMap,put(key;value),0.4546335714
synchronizedHashMap,iterator,0.1712558571
synchronizedHashMap,remove(key),0.467163
concurrentSkipListMap,put(key;value),0.4039392857
concurrentSkipListMap,iterator,0.3391897143
concurrentSkipListMap,remove(key),1.360657
synchronizedTreeMap,put(key;value),0.7474191429
synchronizedTreeMap,iterator,0.6169258571
synchronizedTreeMap,remove(key),0.774292
concurrentHashMap(EclipseCollections),put(key;value),0.2284197143
concurrentHashMap(EclipseCollections),iterator,0.1431535714
concurrentHashMap(EclipseCollections),remove(key),0.469605
synchronizedUnifiedMap(EclipseCollections),put(key;value),0.4951607143
synchronizedUnifiedMap(EclipseCollections),iterator,0.149292
synchronizedUnifiedMap(EclipseCollections),remove(key),0.548828
staticBucketMap(ApacheCommonsCollections),put(key;value),0.1535907143
staticBucketMap(ApacheCommonsCollections),iterator,0.148673
staticBucketMap(ApacheCommonsCollections),remove(key),0.258911
synchronizedLinkedHashMap,put(key;value),0.3559918571
synchronizedLinkedHashMap,iterator,0.1579067143
synchronizedLinkedHashMap,remove(key),0.271179
hashMap,put(key;value),0.2417864286
hashMap,iterator,0.063529
hashMap,remove(key),0.396484
linkedHashMap,put(key;value),0.190918
linkedHashMap,iterator,0.0977521429
linkedHashMap,remove(key),0.259705
treeMap,put(key;value),0.2875191429
treeMap,iterator,0.1932024286
treeMap,remove(key),0.536316
unifiedMap(EclipseCollections),put(key;value),0.2717721429
unifiedMap(EclipseCollections),iterator,0.154419
unifiedMap(EclipseCollections),remove(key),0.294922
hashedMap(ApacheCommonsCollections),put(key;value),0.2747541429
hashedMap(ApacheCommonsCollections),iterator,0.0943517143
hashedMap(ApacheCommonsCollections),remove(key),0.247253
